item_number	title	condition	description	email	type	piece_count	platform	media
1493	Blue Planet Software	Mint		usr203@gt.edu	Video Game		Nintendo	Game card
1494	Disney Villainous: Jafar	Mint	Jigsaw Puzzle By Ravensburger NEW	usr203@gt.edu	Jigsaw Puzzle	1000		
1495	Assassin's Creed: Revelations	Lightly Used	Ubisoft Montreal   Ubisoft	usr203@gt.edu	Computer Game		macOS	
1496	Cranium	Damaged/Missing parts	United States  Single six-sided die rolled after completion of an activity	usr203@gt.edu	Board Game			
1497	Juju	Heavily Used	Flying Wild Hog   Unreleased	usr203@gt.edu	Video Game		PlayStation	Cartridge
1498	Metal Gear Solid: Peace Walker HD Edition	Lightly Used		usr203@gt.edu	Video Game		Xbox	Game card
1499	Blade Strangers	Like New	Studio Saizensen   Nicalis	usr203@gt.edu	Computer Game		Windows	
1500	Assassin's Creed Rogue	Damaged/Missing parts	Ubisoft Montreal   Ubisoft	usr204@gt.edu	Computer Game		macOS	
1501	AdvertCity	Moderately Used	VoxelStorm	usr204@gt.edu	Computer Game		Windows	
1502	Madagascar 3: The Video Game	Like New	Action-adventure, Platformer   Monkey Bar Games	usr204@gt.edu	Video Game		Xbox	Cartridge
1503	"Kaijudo	"	Like New	Wizards of the Coast   	usr204@gt.edu	Card Game			
1504	NBA Live 99	Damaged/Missing parts	EA Canada   	usr205@gt.edu	Video Game		Nintendo	Optical disc
1505	Metal Gear Solid HD Collection	Moderately Used	Third-person Shooter, Stealth, Action   Kojima Productions	usr205@gt.edu	Video Game		Xbox	Game card
1506	Captain Tsubasa Trading Card Game	Mint	Konami   	usr205@gt.edu	Card Game			
1507	Silent Hunter III	Heavily Used	Ubisoft Bucharest   Ubisoft	usr205@gt.edu	Computer Game		Linux	
1508	Pony Island	Heavily Used	Daniel Mullins Games	usr205@gt.edu	Computer Game		Windows	
1509	Weekly Shonen Sunday VS Weekly Shonen Magazine 	Heavily Used	Bushiroad   	usr205@gt.edu	Card Game			
1510	Assassin's Creed Unity	Moderately Used	Ubisoft Montreal   Ubisoft	usr205@gt.edu	Computer Game		macOS	
1511	Airscape: The Fall of Gravity	Like New	Cross-Product	usr206@gt.edu	Computer Game		macOS	
1512	Tock	Like New	Quebec, Canada  Cards played from a hand of standard playing cards	usr206@gt.edu	Board Game			
1513	Borderlands	Heavily Used	Gearbox Software   2K Games	usr206@gt.edu	Computer Game		Linux	
1514	Stormfront Studios	Heavily Used		usr206@gt.edu	Video Game		Nintendo	Cartridge
1515	Magic: The Gathering 2015	Lightly Used	Card & Board   Stainless Games	usr206@gt.edu	Video Game		Xbox	Cartridge
1516	Jissen Pachi-Slot Hisshouhou! Hokuto no Ken F - Seikimatsu Kyuuseishu Densetsu	Like New	Sega   May 31, 2012	usr206@gt.edu	Video Game		PlayStation	Optical disc
1517	Xena: Warrior Princess 	Mint	Wizards of the Coast   	usr206@gt.edu	Card Game			
1518	Aion	Mint	NCsoft   NCsoft, NC Interactive, Gameforge	usr206@gt.edu	Computer Game		Windows	
1519	NBA In The Zone 2000	Lightly Used	KCEO   Konami	usr206@gt.edu	Video Game		Nintendo	Game card
1520	Amnesia: A Machine for Pigs	Moderately Used	The Chinese Room   Frictional Games	usr207@gt.edu	Computer Game		Windows	
1521	Monaco: What's Yours Is Mine	Mint	Action & Adventure   Pocketwatch Games	usr207@gt.edu	Video Game		Xbox	Cartridge
1522	I am Spartacus	Damaged/Missing parts	XTR Corp  1992	usr207@gt.edu	Board Game			
1523	Nutcracker Suite	Like New	Jennifer Brown	usr207@gt.edu	Jigsaw Puzzle	52		
1524	G.I. Joe Trading Card Game 	Heavily Used	Wizards of the Coast   	usr207@gt.edu	Card Game			
1525	Man Vs. Wild With Bear Grylls	Lightly Used	Adventure   G.rev	usr207@gt.edu	Video Game		Xbox	Game card
1526	Portal	Like New	Valve   Valve, Microsoft Game Studios	usr207@gt.edu	Computer Game		Windows	
1527	Midway Arcade Origins	Lightly Used	Compilation   Backbone Entertainment	usr207@gt.edu	Video Game		Xbox	Cartridge
1528	Mario Tennis 64JP	Lightly Used	Camelot   Nintendo	usr207@gt.edu	Video Game		Nintendo	Game card
1529	Battle Spirits 	Like New	Bandai   	usr208@gt.edu	Card Game			
1530	Midnight Club: Los Angeles	Like New		usr208@gt.edu	Video Game		Xbox	Cartridge
1531	GT InteractivePAL	Mint	Racing/Automobile   1998-06NA	usr208@gt.edu	Video Game		Nintendo	Cartridge
1532	G.I. Joe Trading Card Game 	Moderately Used	Wizards of the Coast   	usr208@gt.edu	Card Game			
1533	A Day in the Woods	Mint	RetroEpic Software	usr208@gt.edu	Computer Game		Windows	
1534	Joysound Dive (app)	Damaged/Missing parts	Xing Inc.   November 24, 2011	usr208@gt.edu	Video Game		PlayStation	Cartridge
1535	Ken il Guerriero: Gioco di Carte Collezionabili 	Damaged/Missing parts	Alchemia   	usr208@gt.edu	Card Game			
1536	Armageddon: Tactical Combat, 3000-500 BC	Lightly Used	Simulations Publications, Inc.  1972	usr209@gt.edu	Board Game			
1537	Ace Lightning	Lightly Used	Absolute Studios   Gamezlab	usr209@gt.edu	Computer Game		macOS	
1538	Xena: Warrior Princess 	Heavily Used	Wizards of the Coast   	usr209@gt.edu	Card Game			
1539	Aeroplane Chess	Mint	China  Single six-sided die	usr209@gt.edu	Board Game			
1540	Epic of the Peloponnesian War	Lightly Used	Clash of Arms  2006	usr209@gt.edu	Board Game			
1541	Suzanne Stofflet (riddles)	Heavily Used	26/50	usr209@gt.edu	Jigsaw Puzzle	24		
1542	Borderlands 3	Damaged/Missing parts	Gearbox Software   2K Games	usr210@gt.edu	Computer Game		macOS	
1543	Centurion: Tactical Warfare, 100 BC-600 AD	Lightly Used	Simulations Publications, Inc.  1971	usr210@gt.edu	Board Game			
1544	A Bird Story	Mint	Freebird Games	usr210@gt.edu	Computer Game		Windows	
1545	JoJo's Bizarre Adventure HD Ver.	Heavily Used	Capcom   August 21, 2012	usr210@gt.edu	Video Game		PlayStation	Cartridge
1546	Memories Off: Yubikiri no Kioku	Lightly Used	Visual novel   5pb.	usr210@gt.edu	Video Game		Xbox	Optical disc
1547	The Conquerors: Alexander the Great	Damaged/Missing parts	GMT Games  2006	usr210@gt.edu	Board Game			
1548	NBA Pro '98PAL	Like New	KCEO   Konami	usr210@gt.edu	Video Game		Nintendo	Optical disc
1549	Scrolls	Mint	Mojang	usr210@gt.edu	Computer Game		Windows	
1550	Empire State Building	Mint	3D Jigsaw Puzzle By Ravensburger	usr211@gt.edu	Jigsaw Puzzle	216		
1551	Battleship: Surface Thunder	Lightly Used	Hasbro Interactive	usr211@gt.edu	Computer Game		Windows	
1552	Jane's Advanced Strike Fighters	Heavily Used	Trickstar Games   	usr211@gt.edu	Video Game		PlayStation	Optical disc
1553	Prince John	Damaged/Missing parts	Jigsaw Puzzle By Ravensburger NEW	usr211@gt.edu	Jigsaw Puzzle	1000		
1554	Parques	Mint	Colombia  Two six-sided dice	usr211@gt.edu	Board Game			
1555	Stavely Manor	Mint	Steve Richardson (trick)	usr211@gt.edu	Jigsaw Puzzle	43		
1556	Monster Truck Madness 64	Moderately Used	Terminal Reality   	usr211@gt.edu	Video Game		Nintendo	Game card
1557	MIB: Alien Crisis	Moderately Used	Action-adventure   Fun Labs	usr211@gt.edu	Video Game		Xbox	Game card
1558	BioShock	Heavily Used	2K Boston, 2K Australia   2K Games	usr211@gt.edu	Computer Game		macOS	
1559	Kadesh	Damaged/Missing parts	XTR Corp  1991	usr212@gt.edu	Board Game			
1560	A Hat in Time	Mint	Gears for Breakfast	usr212@gt.edu	Computer Game		macOS	
1561	Pok�mon Puzzle League	Moderately Used	Nintendo Software Technology   Nintendo	usr212@gt.edu	Video Game		Nintendo	Game card
1562	MLB Bobblehead Battle	Mint	Sports & Recreation   Konami	usr212@gt.edu	Video Game		Xbox	Cartridge
1563	Gridiron Fantasy Football	Lightly Used	Upper Deck   	usr212@gt.edu	Card Game			
1564	Thorgal Kolekcjonerska Gra Karciana	Heavily Used	Egmont Polksa   	usr212@gt.edu	Card Game			
1565	BattleTech	Moderately Used	Wizards of the Coast   	usr212@gt.edu	Card Game			
1566	Jikkyou Powerful Pro Yakyuu Championship 2017	Damaged/Missing parts	Konami   May 25, 2017	usr212@gt.edu	Video Game		PlayStation	Game card
1567	Mad Tracks	Moderately Used	Racing & Flying   Load	usr212@gt.edu	Video Game		Xbox	Cartridge
1568	Tyre	Like New	Simulations Publications, Inc.  1978	usr212@gt.edu	Board Game			
1569	Stronghold	Like New	Firefly Studios, MacSoft   Take 2 Interactive, God Games	usr212@gt.edu	Computer Game		Windows	
1570	Madden NFL 25	Like New	Sports   EA Tiburon	usr213@gt.edu	Video Game		Xbox	Game card
1571	Age of Conan	Like New	Funcom	usr213@gt.edu	Computer Game		Windows	
1572	JoJo's Bizarre Adventure: All Star Battle	Lightly Used	CyberConnect2   October 29, 2013	usr213@gt.edu	Video Game		PlayStation	Optical disc
1573	Doctor Who Monster Invasion	Moderately Used	BBC Worldwide   	usr213@gt.edu	Card Game			
1574	Aquarian Age	Moderately Used	an out-of-print Japanese collectible trading card game marketed and produced by Broccoli   	usr213@gt.edu	Card Game			
1575	Age of Chivalry	Heavily Used	Team Chivalry	usr213@gt.edu	Computer Game		Windows	
1576	Suzanne Stofflet (riddles)	Lightly Used	26/50	usr213@gt.edu	Jigsaw Puzzle	24		
1577	Police Quest: SWAT 2	Lightly Used	Yosemite Entertainment   Sierra FX	usr213@gt.edu	Computer Game		Windows	
1578	THQNA/PAL	Damaged/Missing parts		usr213@gt.edu	Video Game		Nintendo	Cartridge
1579	SimCity Societies	Mint	Tilted Mill Entertainment   Electronic Arts	usr214@gt.edu	Computer Game		macOS	
1580	Space Station 13	Moderately Used	SS13 Development Team	usr214@gt.edu	Computer Game		Windows	
1581	Kentucky Route Zero	Moderately Used	Cardboard Computer	usr214@gt.edu	Computer Game		macOS	
1582	"Guardians	"	Mint		usr214@gt.edu	Card Game			
1583	Pentagon	Mint	Andrea Farnham (art)	usr214@gt.edu	Jigsaw Puzzle	25		
1584	Nushi Tsuri 64: Shiokaze Ni Notte	Heavily Used		usr214@gt.edu	Video Game		Nintendo	Game card
1585	Knight at Stavely Castle	Damaged/Missing parts		usr215@gt.edu	Jigsaw Puzzle	46		
1586	Project I.G.I.	Damaged/Missing parts	Innerloop Studios   Eidos Interactive	usr215@gt.edu	Computer Game		Linux	
1587	Illuminati: New World Order	Lightly Used	Steve Jackson Games   	usr215@gt.edu	Card Game			
1588	NFL Quarterback Club 2000	Heavily Used	Acclaim Studios Austin   Acclaim Sports	usr215@gt.edu	Video Game		Nintendo	Optical disc
1589	Treasure Island	Moderately Used	Andrea Farnham (art and tricks)	usr215@gt.edu	Jigsaw Puzzle	39		
1590	Gundam M.S. War Trading Card Game 	Lightly Used		usr215@gt.edu	Card Game			
1591	The X-Files Collectible Card Game 	Like New	Voyager Promotions   	usr215@gt.edu	Card Game			
1592	Saints Row IV	Heavily Used	Volition   Deep Silver, Spike Chunsoft	usr215@gt.edu	Computer Game		Windows	
1593	Scrapland	Lightly Used	Mercury Steam Entertainment   Deep Silver, Enlight Software	usr215@gt.edu	Computer Game		Windows	
1594	Spore	Damaged/Missing parts		usr215@gt.edu	Computer Game		macOS	
1595	Cyberpunk The Collectible Card Game	Like New	Social Games/ImageNative Worlds Inc./R. Talsorian Games Inc.   	usr215@gt.edu	Card Game			
1596	Metal Slug 3	Moderately Used	Classics   SNK	usr215@gt.edu	Video Game		Xbox	Cartridge
1597	"VS System	"	Moderately Used	Upper Deck   	usr216@gt.edu	Card Game			
1598	MLB Front Office Manager	Moderately Used	Sports Management   Blue Castle Games	usr216@gt.edu	Video Game		Xbox	Game card
1599	BioShock	Moderately Used	2K Boston, 2K Australia   2K Games	usr216@gt.edu	Computer Game		macOS	
1600	Pro Mahjong Kiwame 64	Mint	Athena   Athena	usr216@gt.edu	Video Game		Nintendo	Optical disc
1601	Pachisi	Lightly Used		usr216@gt.edu	Board Game			
1602	Kaihou Shoujo SIN	Like New	Sega   December 5, 2013	usr216@gt.edu	Video Game		PlayStation	Game card
1603	Pool of Radiance	Moderately Used	Strategic Simulations, Inc.   Strategic Simulations, Inc., Pony Canyon (PC9800, X1)	usr217@gt.edu	Computer Game		Windows	
1604	Edris A Jin	Heavily Used	Syria and Lebanon  	usr217@gt.edu	Board Game			
1605	Jikkyou Powerful Pro Yakyuu 2013	Damaged/Missing parts	Konami   October 24, 2013	usr217@gt.edu	Video Game		PlayStation	Optical disc
1606	Persona 4 Golden	Like New	Atlus   Sega	usr217@gt.edu	Computer Game		Windows	
1607	World of Goo	Lightly Used		usr217@gt.edu	Computer Game		Windows	
1608	X610Z existenz 	Moderately Used		usr217@gt.edu	Card Game			
1609	Valley Games	Heavily Used	2007  	usr217@gt.edu	Board Game			
1610	"Ultimate Combat!	"	Lightly Used		usr217@gt.edu	Card Game			
1611	John Woo Presents: Stranglehold	Damaged/Missing parts	Midway Chicago   	usr217@gt.edu	Video Game		PlayStation	Game card
1612	Joe Danger 2: The Movie	Heavily Used	Hello Games   Unreleased	usr217@gt.edu	Video Game		PlayStation	Optical disc
1613	Hannibal: The Second Punic War	Mint	Decision Games  1991	usr217@gt.edu	Board Game			
1614	NuFX	Mint		usr218@gt.edu	Video Game		Nintendo	Optical disc
1615	J-Stars Victory Vs	Mint	Spike Chunsoft   March 19, 2014	usr218@gt.edu	Video Game		PlayStation	Optical disc
1616	Battlehawks 1942	Heavily Used	Lucasfilm Games	usr218@gt.edu	Computer Game		Windows	
1617	GT InteractivePAL	Moderately Used	Action/Beat 'em up   1997-12-08NA	usr218@gt.edu	Video Game		Nintendo	Optical disc
1618	Abomination: The Nemesis Project	Heavily Used	Hothouse Creations   Eidos Interactive	usr218@gt.edu	Computer Game		macOS	
1619	Pharaoh's Curse	Like New	Andrea Farnham (art and tricks)	usr218@gt.edu	Jigsaw Puzzle	49		
1620	Pool of Radiance	Lightly Used	Strategic Simulations, Inc.   Strategic Simulations, Inc., Pony Canyon (PC9800, X1)	usr218@gt.edu	Computer Game		Windows	
1621	A.D.A.M. The Inside Story	Mint		usr218@gt.edu	Computer Game		Linux	
1622	The Witcher	Like New		usr218@gt.edu	Computer Game		macOS	
1623	ParaWorld	Moderately Used	SEK   Sunflowers	usr218@gt.edu	Computer Game		Linux	
1624	Battleship: Surface Thunder	Lightly Used	Hasbro Interactive	usr219@gt.edu	Computer Game		Windows	
1625	Prince of Persia: The Sands of Time	Lightly Used	Ubisoft Montreal   Ubisoft	usr219@gt.edu	Computer Game		Windows	
1626	Star Wars: X-Wing	Mint	Lucasarts	usr219@gt.edu	Computer Game		Windows	
1627	War of the Lance	Moderately Used	Strategic Simulations, Inc.	usr219@gt.edu	Computer Game		Windows	
1628	Romeo and Juliet	Heavily Used		usr219@gt.edu	Jigsaw Puzzle	59		
1629	Accel World vs. Sword Art Online: Millennium Twilight	Lightly Used		usr219@gt.edu	Computer Game		macOS	
1630	Conquest of the Empire	Lightly Used		usr219@gt.edu	Board Game			
1631	Portal	Mint		usr220@gt.edu	Computer Game		Windows	
1632	Suzanne Stofflet (riddles)	Damaged/Missing parts	25/50	usr220@gt.edu	Jigsaw Puzzle	33		
1633	NFL Blitz Special Edition	Like New	Point of View   Midway Home Entertainment	usr220@gt.edu	Video Game		Nintendo	Cartridge
1634	Pro Mahjong Kiwame 64	Moderately Used	Athena   Athena	usr220@gt.edu	Video Game		Nintendo	Optical disc
1635	World of Warcraft: Warlords of Draenor	Mint		usr220@gt.edu	Computer Game		Windows	
1636	Mahjong * Dream C Club	Moderately Used	Puzzle Game   D3Publisher	usr220@gt.edu	Video Game		Xbox	Cartridge
1637	Dimension 0	Heavily Used	Broccoli   	usr220@gt.edu	Card Game			
1638	Call of Cthulhu: Collectible Card Game	Lightly Used		usr220@gt.edu	Card Game			
1639	Tempest of the Gods 	Moderately Used	Black Dragon Press   	usr220@gt.edu	Card Game			
1640	Epic of the Peloponnesian War	Damaged/Missing parts		usr220@gt.edu	Board Game			
1641	Janline R	Damaged/Missing parts	Recom   August 6, 2009	usr220@gt.edu	Video Game		PlayStation	Optical disc
1642	NBA Showtime: NBA on NBC	Mint		usr221@gt.edu	Video Game		Nintendo	Cartridge
1643	Digimon D-Tector 	Mint	Bandai   	usr221@gt.edu	Card Game			
1644	Jeopardy!	Damaged/Missing parts		usr221@gt.edu	Video Game		PlayStation	Game card
1645	World of Warcraft: Legion	Heavily Used	Blizzard Entertainment	usr221@gt.edu	Computer Game		macOS	
1646	Towers in Time 	Lightly Used	Thunder Castle Games   	usr222@gt.edu	Card Game			
1647	Mega Man 10	Moderately Used	Action & Adventure   Inti Creates/Capcom	usr222@gt.edu	Video Game		Xbox	Game card
1648	Mario Party	Mint	Hudson Soft   Nintendo	usr222@gt.edu	Video Game		Nintendo	Cartridge
1649	Age of Wonders III	Mint	Triumph Studios	usr222@gt.edu	Computer Game		macOS	
1650	Mars: War Logs	Damaged/Missing parts	Role Playing   Spiders	usr222@gt.edu	Video Game		Xbox	Optical disc
1651	Battleground 6: Napoleon in Russia	Moderately Used	TalonSoft	usr222@gt.edu	Computer Game		Windows	
1652	Acrophobia (game)	Damaged/Missing parts	Andrea Jennifer Shubert   Internet Relay Chat	usr222@gt.edu	Computer Game		macOS	
1653	Centurion: Tactical Warfare, 100 BC-600 AD	Mint	Simulations Publications, Inc.  1971	usr222@gt.edu	Board Game			
1654	Dredd: The Card Game 	Damaged/Missing parts	Round Table Productions   	usr222@gt.edu	Card Game			
1655	Ganbare Goemon Derodero Dochu Obake Tenko MoriJP	Like New	KCEO   Konami	usr222@gt.edu	Video Game		Nintendo	Cartridge
1656	Ganbare Goemon Derodero Dochu Obake Tenko MoriJP	Like New	KCEO   Konami	usr222@gt.edu	Video Game		Nintendo	Cartridge
1657	ARMA 3	Heavily Used		usr223@gt.edu	Computer Game		Windows	
1658	World in Conflict: Soviet Assault	Moderately Used	Massive Entertainment   Sierra Entertainment (former), Ubisoft	usr223@gt.edu	Computer Game		macOS	
1659	Pachisi	Heavily Used	India  Six or seven thrown cowry shells	usr223@gt.edu	Board Game			
1660	Parcheesi	Mint	United States  Two six-sided dice	usr223@gt.edu	Board Game			
1661	Pokemon Stadium 2JP	Lightly Used	Nintendo EAD   	usr223@gt.edu	Video Game		Nintendo	Cartridge
1662	Megamind: Ultimate Showdown	Mint		usr223@gt.edu	Video Game		Xbox	Cartridge
1663	Paradigm Simulation	Heavily Used	Nintendo   Simulation/Flight	usr223@gt.edu	Video Game		Nintendo	Optical disc
1664	A Date in the Park	Heavily Used	Cloak and Dagger Games	usr223@gt.edu	Computer Game		Windows	
1665	Asphalt 8: Airborne	Moderately Used	Gameloft	usr223@gt.edu	Computer Game		macOS	
1666	Doctor Who Monster Invasion	Mint	BBC Worldwide   	usr223@gt.edu	Card Game			
1667	StarDrive	Lightly Used	Zero Sum Games   Iceberg Interactive	usr223@gt.edu	Computer Game		macOS	
1668	Veto! 	Damaged/Missing parts	Krakowska Grupa Kreatywna   	usr224@gt.edu	Card Game			
1669	Wizards of Mickey 	Like New	New Media Publishing   	usr224@gt.edu	Card Game			
1670	Major League Baseball 2K10	Mint	Sports   Visual Concepts	usr224@gt.edu	Video Game		Xbox	Optical disc
1671	Flights of Fantasy 	Mint	Destini Productions Inc.   	usr224@gt.edu	Card Game			
1672	Ashte kashte	Lightly Used	Bengal, India  Four thrown cowry shells	usr225@gt.edu	Board Game			
1673	NHL Pro 99PAL	Damaged/Missing parts	KCEO   Konami	usr225@gt.edu	Video Game		Nintendo	Cartridge
1674	Hannibal: The Italian Campaign 219-206 BC	Mint	Simulations Canada  1983	usr225@gt.edu	Board Game			
1675	Marvel vs. Capcom Origins	Moderately Used	Fighting   Capcom/	usr226@gt.edu	Video Game		Xbox	Cartridge
1676	Battlehawks 1942	Heavily Used	Lucasfilm Games	usr226@gt.edu	Computer Game		Windows	
1677	Accel World vs. Sword Art Online: Millennium Twilight	Mint	Artdink   Bandai Namco Entertainment	usr226@gt.edu	Computer Game		macOS	
1678	Bumblings - The funtasy card game 	Mint	Gernilex Bt.   	usr226@gt.edu	Card Game			
1679	Anno 2205	Lightly Used	Blue Byte   Ubisoft	usr226@gt.edu	Computer Game		macOS	
1680	The Maw	Mint	Action & Adventure   Twisted Pixel Games	usr226@gt.edu	Video Game		Xbox	Game card
1681	Baldur's Gate II: Shadows of Amn	Like New	BioWare   Black Isle Studios, Interplay Entertainment	usr226@gt.edu	Computer Game		macOS	
1682	NHL Pro 99PAL	Lightly Used		usr226@gt.edu	Video Game		Nintendo	Cartridge
1683	Mars: War Logs	Heavily Used	Role Playing   Spiders	usr226@gt.edu	Video Game		Xbox	Optical disc
1684	Star Wars: Republic Commando	Lightly Used	LucasArts, Magellan Interactive   THQ Wireless	usr226@gt.edu	Computer Game		macOS	
1685	InfogramesPAL	Mint	Action/Adventure   1998-07-18NA	usr226@gt.edu	Video Game		Nintendo	Optical disc
1686	Power League 64	Lightly Used	Hudson Soft   Hudson Soft	usr226@gt.edu	Video Game		Nintendo	Optical disc
1687	StarCraft II: Legacy of the Void	Mint		usr227@gt.edu	Computer Game		Windows	
1688	Blue Planet Software	Damaged/Missing parts	Nintendo   Puzzle/Stacking	usr227@gt.edu	Video Game		Nintendo	Game card
1689	Pixel Piracy	Moderately Used		usr227@gt.edu	Computer Game		Windows	
1690	Battleground 11: East Front	Damaged/Missing parts	TalonSoft	usr227@gt.edu	Computer Game		Windows	
1691	Assassin's Creed Unity	Heavily Used	Ubisoft Montreal   Ubisoft	usr228@gt.edu	Computer Game		macOS	
1692	Metro 2033	Mint	Survival Horror, First-person Shooter   4A Games	usr228@gt.edu	Video Game		Xbox	Optical disc
1693	Jissen Pachi-Slot Hisshouhou! Hokuto no Ken F - Seikimatsu Kyuuseishu Densetsu	Mint	Sega   May 31, 2012	usr228@gt.edu	Video Game		PlayStation	Optical disc
1694	Vandaria Wars Trading Card Game 	Heavily Used		usr228@gt.edu	Card Game			
1695	Micro Machines 64 Turbo	Heavily Used	Codemasters   Midway Home EntertainmentNA	usr228@gt.edu	Video Game		Nintendo	Cartridge
1696	Jikkyou Powerful Pro Yakyuu 2010	Like New	Konami   July 15, 2010	usr228@gt.edu	Video Game		PlayStation	Optical disc
1697	Antichamber	Like New	Alexander Bruce   Demruth	usr228@gt.edu	Computer Game		Windows	
1698	FemWarriors 	Damaged/Missing parts	N Communications   	usr229@gt.edu	Card Game			
1699	Monster Hunter Frontier G6	Moderately Used	Action role-playing, Expansion   Capcom	usr229@gt.edu	Video Game		Xbox	Cartridge
1700	1995	Like New		usr229@gt.edu	Board Game			
1701	Age of Conan	Mint	Funcom	usr229@gt.edu	Computer Game		Windows	
1702	uDraw Marvel Super Hero Squad: Comic Combat	Heavily Used		usr229@gt.edu	Video Game		Xbox	Optical disc
1703	Fullmetal Alchemist Trading Card Game 	Heavily Used	RC2 Inc./JoyRide Studios   	usr229@gt.edu	Card Game			
1704	Monster Hunter Frontier G1	Moderately Used	Action role-playing, Expansion   Capcom	usr229@gt.edu	Video Game		Xbox	Optical disc
1705	Jane's Advanced Strike Fighters	Like New	Trickstar Games   	usr229@gt.edu	Video Game		PlayStation	Optical disc
1706	Meteos Wars	Heavily Used		usr229@gt.edu	Video Game		Xbox	Game card
1707	The Eye of Judgment 	Heavily Used		usr230@gt.edu	Card Game			
1708	Major League Baseball 2K10	Lightly Used	Sports   Visual Concepts	usr230@gt.edu	Video Game		Xbox	Optical disc
1709	Age of Chivalry	Moderately Used	Team Chivalry	usr230@gt.edu	Computer Game		Windows	
1710	Hannibal at Bay	Moderately Used		usr230@gt.edu	Board Game			
1711	The Binding of Isaac	Heavily Used		usr230@gt.edu	Computer Game		Windows	
1712	"True Megami Reincarnation Trading Card	"	Like New	Enterbrain   	usr230@gt.edu	Card Game			
1713	Mia Hamm Soccer 64	Mint	Silicon Dreams Studio   	usr230@gt.edu	Video Game		Nintendo	Cartridge
1714	Hyborian Gates 	Damaged/Missing parts	CARDZ   	usr230@gt.edu	Card Game			
1715	Anno 1602	Heavily Used	Max Design   Sunflowers	usr230@gt.edu	Computer Game		Windows	
1716	Battleship: Surface Thunder	Moderately Used	Hasbro Interactive	usr230@gt.edu	Computer Game		Windows	
1717	Kamen Rider Battride War 2	Like New	Bandai Namco Games   June 24, 2014	usr231@gt.edu	Video Game		PlayStation	Optical disc
1718	Achron	Like New		usr231@gt.edu	Computer Game		macOS	
1719	NFL Blitz	Mint	Midway Games   Midway Home Entertainment	usr231@gt.edu	Video Game		Nintendo	Optical disc
1720	GT InteractivePAL	Mint	Action/Fighting   1998-06-23NA	usr231@gt.edu	Video Game		Nintendo	Cartridge
1721	Stellar Monarch	Heavily Used	Silver Lemur Games	usr231@gt.edu	Computer Game		macOS	
1722	Achron	Like New	Hazardous Software, Inc.	usr231@gt.edu	Computer Game		macOS	
1723	Africa Trail	Lightly Used	MECC   The Learning Company	usr231@gt.edu	Computer Game		Linux	
1724	Queen of the Celts	Mint	Avalanche Press  2007	usr231@gt.edu	Board Game			
1725	ARMA 2	Damaged/Missing parts	Bohemia Interactive   505 Games	usr232@gt.edu	Computer Game		Windows	
1726	Jyhad (AKA Vampire: The Eternal Struggle)	Heavily Used	Wizards of the Coast/White Wolf Publishing Inc./Black Chantry   	usr232@gt.edu	Card Game			
1727	Mensch argere Dich nicht	Lightly Used		usr232@gt.edu	Board Game			
1728	Air Conflicts: Vietnam	Damaged/Missing parts	Games Farm   bitComposer	usr232@gt.edu	Computer Game		macOS	
1729	Major League Baseball 2K13	Lightly Used	Sports   Visual Concepts	usr232@gt.edu	Video Game		Xbox	Cartridge
1730	Candy Thun (art)	Moderately Used		usr232@gt.edu	Jigsaw Puzzle	58		
1731	MLB Stickball	Moderately Used	Sports & Recreation   Gaia Industries	usr232@gt.edu	Video Game		Xbox	Game card
1732	Firestorm Tactical Card Game 	Heavily Used	Third World Games   	usr232@gt.edu	Card Game			
1733	Aquarian Age	Like New		usr232@gt.edu	Card Game			
1734	Corunea	Moderately Used	Insight Games   	usr233@gt.edu	Card Game			
1735	MLB Bobblehead Battle	Lightly Used	Sports & Recreation   Konami	usr233@gt.edu	Video Game		Xbox	Cartridge
1736	Chariot Lords	Heavily Used	Clash of Arms  1999	usr233@gt.edu	Board Game			
1737	Magic: The Gathering 2012	Mint	Card & Board   Stainless Games	usr234@gt.edu	Video Game		Xbox	Optical disc
1738	Airscape: The Fall of Gravity	Moderately Used	Cross-Product	usr234@gt.edu	Computer Game		macOS	
1739	Starbound	Mint	Chucklefish	usr234@gt.edu	Computer Game		macOS	
1740	Marvel Avengers: Battle for Earth	Heavily Used		usr234@gt.edu	Video Game		Xbox	Cartridge
1741	Adidas Power Soccer	Heavily Used	Psygnosis France   Psygnosis	usr234@gt.edu	Computer Game		macOS	
1742	Amnesia: A Machine for Pigs	Like New	The Chinese Room   Frictional Games	usr235@gt.edu	Computer Game		Windows	
1743	Endless Space	Mint	Amplitude Studios   Iceberg Interactive	usr235@gt.edu	Computer Game		Linux	
1744	Disney Pixar: Toy Story: Playing Around 	Moderately Used	Giant Floor Puzzle by Ravensburger	usr235@gt.edu	Jigsaw Puzzle	60		
1745	SimCity	Moderately Used	Maxis   Electronic Arts	usr235@gt.edu	Computer Game		Windows	
1746	Antichamber	Heavily Used	Alexander Bruce   Demruth	usr236@gt.edu	Computer Game		Windows	
1747	A.R.E.S.: Extinction Agenda	Like New	Extend Studio   Origo Games, Aksys Games	usr236@gt.edu	Computer Game		Windows	
1748	Just Dance 4	Damaged/Missing parts	Ubisoft Paris   October 2, 2014	usr236@gt.edu	Video Game		PlayStation	Game card
